Timestamp,Severity,Threat Score,MITRE ID,Technique,Alert,IP Address,Username
Mar 12 10:15:20,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,invalid
Mar 12 10:15:22,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,invalid
Mar 12 10:15:24,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:26,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:28,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:30,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:32,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:34,Medium,10,T1110,Brute Force,Failed Login Attempt,192.168.1.50,root
Mar 12 10:15:40,High,50,T1078,Valid Accounts,Root Login Detected,192.168.1.50,root
Mar 12 10:20:05,Medium,10,T1110,Brute Force,Failed Login Attempt,10.0.0.20,user1
Mar 12 10:20:07,Medium,10,T1110,Brute Force,Failed Login Attempt,10.0.0.20,user1
Mar 12 10:20:09,Medium,10,T1110,Brute Force,Failed Login Attempt,10.0.0.20,user1
Mar 12 10:21:00,Medium,20,T1110,Brute Force,Invalid User Login Attempt,172.16.0.5,
Mar 12 10:21:02,Medium,10,T1110,Brute Force,Failed Login Attempt,172.16.0.5,invalid
-,Critical,100,T1110,Brute Force,Possible Brute Force Attack,192.168.1.50,-
